text,departments,severity,sos
Reporting a broken water main flooding the downtown street near the Mall.,"Utilities,Public Works",57,0
I see a wildfire approaching residential area near the Suburbs.,"Fire,Police,Environmental",100,1
URGENT: power lines down on a flooded street near Main St.,"Utilities,Fire,Public Works",71,0
Calling about a gas smell in the apartment basement near Oak Road.,"Fire,Utilities",80,0
There is a boat sinking with 5 passengers on board near the Suburbs.,"Coastal Guard,Medical",100,0
URGENT: active shooter in the shopping mall near Oak Road.,"Police,Medical",100,0
Reporting a wildfire approaching residential area near Oak Road.,"Fire,Police,Environmental",85,0
Reporting a homeless camp needing a welfare check near the Mall.,Social Services,23,0
URGENT: boat sinking with 5 passengers on board near the Suburbs.,"Coastal Guard,Medical",100,1
URGENT: child found alone and shivering in the park near Oak Road.,"Social Services,Police",30,0
URGENT: explosion heard in the industrial district near the Port.,"Fire,Police,Medical,Utilities",95,0
I see a vandalism and graffiti on the school wall near the East Side.,"Police,Public Works",30,1
There is a domestic dispute with loud screaming near Oak Road.,"Police,Social Services",48,0
Calling about a someone trying to hack into my bank account near the Suburbs.,"Cyber,Police",43,0
Reporting a oil tanker leaking in the harbor near Downtown.,"Coastal Guard,Environmental",87,0
I see a child found alone and shivering in the park near Oak Road.,"Social Services,Police",22,0
There is a stabbing incident during a street fight near the Mall.,"Police,Medical",95,0
URGENT: suicidal individual on the bridge ledge near the Port.,"Police,Medical,Social Services",100,1
There is a someone trying to hack into my bank account near the Suburbs.,"Cyber,Police",65,1
Calling about a testing connection near the East Side.,Utilities,25,1
URGENT: active shooter in the shopping mall near Oak Road.,"Police,Medical",100,0
Reporting a wildfire approaching residential area near the Mall.,"Fire,Police,Environmental",90,0
I see a active shooter in the shopping mall near the East Side.,"Police,Medical",100,0
I see a suicidal individual on the bridge ledge near Oak Road.,"Police,Medical,Social Services",97,0
There is a someone trying to hack into my bank account near the Suburbs.,"Cyber,Police",65,1
I see a broken water main flooding the downtown street near the East Side.,"Utilities,Public Works",80,1
There is a vandalism and graffiti on the school wall near the Port.,"Police,Public Works",30,1
Reporting a boat sinking with 5 passengers on board near Main St.,"Coastal Guard,Medical",100,1
I see a explosion heard in the industrial district near the Mall.,"Fire,Police,Medical,Utilities",100,1
I see a stabbing incident during a street fight near Main St.,"Police,Medical",88,0
I see a raccoon trapped in a residential chimney near Main St.,Animal Control,23,0
Calling about a vandalism and graffiti on the school wall near Downtown.,"Police,Public Works",7,0
Reporting a aggressive pitbull attacking a pedestrian near Main St.,"Animal Control,Medical,Police",85,1
I see a wildfire approaching residential area near Downtown.,"Fire,Police,Environmental",96,0
Reporting a oil tanker leaking in the harbor near the Port.,"Coastal Guard,Environmental",100,1
There is a someone trying to hack into my bank account near Main St.,"Cyber,Police",38,0
Reporting a large warehouse fire with chemical containers near the Suburbs.,"Fire,Environmental,Medical",90,0
URGENT: large warehouse fire with chemical containers near Oak Road.,"Fire,Environmental,Medical",95,0
Reporting a identity theft and fraudulent credit cards near the Suburbs.,"Cyber,Police",60,1
There is a street light out at a busy intersection near the Mall.,"Public Works,Utilities",32,1
Reporting a large warehouse fire with chemical containers near the Port.,"Fire,Environmental,Medical",90,0
There is a someone trying to hack into my bank account near the Mall.,"Cyber,Police",65,1
Calling about a raccoon trapped in a residential chimney near Downtown.,Animal Control,35,1
URGENT: aggressive pitbull attacking a pedestrian near the Port.,"Animal Control,Medical,Police",59,0
There is a wildfire approaching residential area near the East Side.,"Fire,Police,Environmental",100,0
URGENT: someone trying to hack into my bank account near Main St.,"Cyber,Police",37,0
URGENT: identity theft and fraudulent credit cards near Oak Road.,"Cyber,Police",60,1
Calling about a domestic dispute with loud screaming near the Suburbs.,"Police,Social Services",52,0
There is a wildfire approaching residential area near the Mall.,"Fire,Police,Environmental",93,0
Reporting a illegal dumping of toxic waste in the river near the East Side.,"Environmental,Police",64,0
Calling about a stabbing incident during a street fight near Main St.,"Police,Medical",86,0
Reporting a cyber attack on city water treatment plant near the Mall.,"Cyber,Utilities,Public Works",94,0
URGENT: explosion heard in the industrial district near Downtown.,"Fire,Police,Medical,Utilities",100,0
Calling about a illegal dumping of toxic waste in the river near the Suburbs.,"Environmental,Police",62,0
Calling about a suicidal individual on the bridge ledge near the Mall.,"Police,Medical,Social Services",91,0
"Calling about a car accident, vehicle flipped and smoking near the Port.","Fire,Medical,Police",72,0
Calling about a suicidal individual on the bridge ledge near the Suburbs.,"Police,Medical,Social Services",100,1
Reporting a wildfire approaching residential area near the Port.,"Fire,Police,Environmental",98,0
URGENT: active shooter in the shopping mall near the Suburbs.,"Police,Medical",100,1
I see a broken water main flooding the downtown street near Oak Road.,"Utilities,Public Works",80,1
There is a broken water main flooding the downtown street near Main St.,"Utilities,Public Works",54,0
Calling about a boat sinking with 5 passengers on board near Downtown.,"Coastal Guard,Medical",93,0
I see a active shooter in the shopping mall near Downtown.,"Police,Medical",100,1
Calling about a boat sinking with 5 passengers on board near Oak Road.,"Coastal Guard,Medical",87,0
Reporting a aggressive pitbull attacking a pedestrian near Main St.,"Animal Control,Medical,Police",67,0
Reporting a broken water main flooding the downtown street near the Port.,"Utilities,Public Works",65,0
Reporting a cyber attack on city water treatment plant near Oak Road.,"Cyber,Utilities,Public Works",100,1
There is a pothole reported on a quiet residential street near the Port.,Public Works,28,1
There is a domestic dispute with loud screaming near the Suburbs.,"Police,Social Services",61,0
Reporting a illegal dumping of toxic waste in the river near the Port.,"Environmental,Police",76,0
